#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.0%,106.66844627923979,889.7278353537312,996.396281632971,222.93679605220848
0.0%,109.66347827164111,1092.6487748311515,1202.3122531027925,273.7821695489414
0.0%,328.4295383067656,1150.984655800807,1479.4141941075727,288.39923994000935
0.0%,234.85068546750483,1222.3933183446673,1457.2440038121722,306.29192330376225
0.0%,247.10190858735479,1131.6342390350196,1378.7361476223743,283.5506561994271
0.0%,273.92316279661986,1088.0637128667227,1361.9868756633425,272.63330246461084
0.0%,242.81061408834097,1085.485508594357,1328.296122682698,271.98728850707204
0.0%,256.86630018439257,1106.9658375784204,1363.832137762813,277.36955882791744
0.0%,346.2238577008716,1116.5024339285756,1462.7262916294471,279.75911904067794
0.0%,371.38405426976806,1110.8457627462503,1482.2298170160184,278.3417416140101
0.0%,355.30406088837844,1130.5711392827186,1485.875200171097,283.2842780518134
0.0%,338.7042509628642,1122.2308024380766,1460.935053400941,281.19446148065776
0.0%,205.86001006018188,1246.3256881252048,1452.1856981853866,312.28859512721766
0.0%,294.0702673981498,1206.4988989791034,1500.5691663772532,302.3092998680683
0.0%,238.66069203917198,1230.0940075640572,1468.7546996032293,308.22146502848756
0.0%,306.75037772001724,1189.6741872139837,1496.424564934001,298.0935754786808
0.0%,184.1347759328413,1254.1850949692343,1438.3198709020758,314.25790631548927
0.0%,219.0584044901666,1301.8531593787739,1520.9115638689404,326.20196957978857
0.0%,211.06285102360766,1213.533579212701,1424.5964302363086,304.0719614486252
0.0%,110.9721848506835,1171.9954656177847,1282.9676504684683,293.66386406093176
0.0%,234.62300986925112,1144.7879536557507,1379.4109635250018,286.8465483556672
0.0%,232.45339702829318,1153.7764991366264,1386.2298961649196,289.0987848835705
0.0%,289.70611096151015,1158.539284222562,1448.245395184072,290.2921835895035
0.0%,136.06774768368518,1117.8955095129222,1253.9632571966074,280.1081783766819
0.0%,214.8647150641948,1200.7271110440768,1415.5918261082716,300.8630779352499
0.0%,255.177064243298,1131.0066961462662,1386.1837603895642,283.39341440542563
0.0%,153.11543688404072,1194.14887248544,1347.2643093694808,299.214785761333
0.0%,172.4167701056804,1163.920940150006,1336.3377102556863,291.6406511570521
0.0%,208.76159577665697,1160.0327722765505,1368.7943680532076,290.66640301758974
0.0%,149.9411956068098,1260.9250749847145,1410.8662705915242,315.9467256267449
0.0%,285.9841878932717,1165.149000663844,1451.1331885571158,291.94836309483185
0.0%,275.9749330622385,1140.7437767425251,1416.7187098047636,285.8332094357442
0.0%,250.75117882380908,1152.2515515440905,1403.0027303678996,288.7166827205059
0.0%,190.77692438627224,1161.172947869992,1351.9498722562641,290.9520938588094
0.0%,224.19587611014225,1170.9510266096618,1395.146902719804,293.40216168758707
0.0%,250.65466611063988,1109.5996532089148,1360.2543193195547,278.0295071792256
0.0%,311.6705002811713,1166.844634845753,1478.5151351269244,292.3732337538926
0.0%,393.052810188656,1162.3774795624117,1555.4302897510677,291.2539102408321
0.0%,377.6890971444868,1205.3576482381172,1583.046745382604,302.02333962991696
0.0%,279.7156013560168,1159.9157639913615,1439.6313653473783,290.63708455504974
0.0%,285.8857432338433,1182.1855829541578,1468.071326188001,296.2171753321969
0.0%,311.7372103119077,1143.041849137929,1454.7790594498365,286.4090314754398
0.0%,246.4129389081786,1215.6084083154458,1462.0213472236244,304.59184599549667
0.0%,238.0372146020694,1275.793600435738,1513.8308150378075,319.67229348509346
0.0%,303.3363632756582,1189.3595719557857,1492.6959352314439,298.0147431494394
0.0%,311.02737783023986,1166.385006550558,1477.412384380798,292.2580658840855
0.0%,332.1009468193085,1209.3503193907445,1541.451266210053,303.02377288499537
0.0%,350.9496279337859,1113.0233655028353,1463.9729934366212,278.88737788876426
0.0%,263.2187508189762,1149.7916820348653,1413.0104328538414,288.1003195976469
0.0%,295.18772839999383,1101.6873075602068,1396.8750359602006,276.0469312519711
0.0%,248.56976695160392,1209.6933983661572,1458.2631653177611,303.10973729403395
0.0%,293.62402374314206,1098.4425622655367,1392.0665860086788,275.2339038392549
0.0%,223.68277397041936,1136.6977770058966,1360.380550976316,284.8194137756888
0.0%,210.3597738839748,1214.8456014309704,1425.2053753149453,304.40071145291614
0.0%,211.91842854467285,1264.470490680185,1476.388919224858,316.83509124195257
0.0%,258.44462836978255,1190.9689062304408,1449.4135346002233,298.41798986457223
0.0%,258.2076671669135,1220.0699609888638,1478.2776281557774,305.7097656771199
0.0%,378.76686816626307,1119.119128259614,1497.885996425877,280.4147773523882
0.0%,296.76842939278083,1173.3080505480978,1470.0764799408785,293.99275506251996
0.0%,202.24093582463888,1122.3109432119343,1324.5518790365732,281.21454214650527
0.0%,210.1075600082358,1059.5479087714334,1269.6554687796693,265.4881713927828
0.0%,159.5282701601919,1115.8384318352312,1275.366701995423,279.59274175834497
0.0%,213.89177226599713,1080.725837648918,1294.6176099149152,270.7946701032462
0.0%,243.69696586388045,1200.9521569616757,1444.649122825556,300.91946710712983
0.1%,353.60067537650997,1134.8192730768214,1488.4199484533315,284.34872191838286
0.1%,325.58018451976886,1117.849209938471,1443.4293944582398,280.09657721239705
0.1%,210.54607232231126,1154.393237824402,1364.939310146713,289.2533194969553
0.1%,246.14045413458007,1047.7023561822118,1293.8428103167919,262.5200620038492
0.1%,111.02612358541205,1128.1149492561467,1239.1410728415588,282.6688368873795
0.1%,169.86444399430036,1095.4472589410216,1265.311702935322,274.48337845403256
0.1%,234.04318390229605,1168.4561149986262,1402.4992989009222,292.7770181561648
0.1%,288.82192103956163,1124.5273984490686,1413.3493194886303,281.7699135865405
0.1%,166.56855557460597,1162.6434550729884,1329.2120106475945,291.32055503466705
0.1%,175.28612088464274,1080.6507103602034,1255.9368312448462,270.7758456533677
0.1%,126.30507383230719,1164.874000148622,1291.1790739809292,291.8794569289908
0.1%,124.88496992459352,1151.3330863701842,1276.2180562947779,288.48654528406746
0.1%,203.03303572014204,1177.1839196996564,1380.2169554197985,294.96392154313537
0.1%,302.3977375378656,1095.2432762994752,1397.6410138373408,274.432267052602
0.1%,388.3161302847716,1080.5038890769576,1468.8200193617292,270.73905702522944
