#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.0%,18.473815696663223,19.884376116655176,38.3581918133184,265.7267493450504
0.0%,10.504540790585452,16.658158979420012,27.162699770005464,222.61289012566428
0.0%,6.183789487724425,18.570468244258922,24.754257731983348,248.1682166647976
0.0%,17.41281959367916,18.093451148066713,35.50627074174587,241.79355338094433
0.0%,15.388489280090653,21.480207152940444,36.8686964330311,287.052789009973
0.0%,19.73040121025406,19.35399609650522,39.08439730675928,258.63896555715667
0.0%,21.27851443272084,16.258979531885924,37.53749396460677,217.27841765459996
0.0%,13.191934908245457,22.237097691592314,35.42903259983777,297.16756763144167
0.0%,17.22111139819026,18.460611666803104,35.68172306499336,246.70013785507038
0.0%,19.773892298457213,12.046285671644627,31.820177970101838,160.9816830273496
0.0%,13.673000150825828,19.59857131632453,33.27157146715036,261.907369743019
0.0%,20.310235357028432,11.515351858141658,31.82558721517009,153.88649856936985
0.0%,22.953611846081913,19.70073810975711,42.654349955839024,263.27268539338564
0.0%,18.14444783795625,9.861420101997874,28.005867939954122,131.78402441477377
0.0%,9.52225187746808,15.100625933071887,24.62287781053997,201.7986492877576
0.0%,19.812452570942696,18.60614972091575,38.41860229185845,248.64504946801077
0.0%,13.957900842724484,28.58045301274052,42.538353855465004,381.93759911447523
0.0%,27.359999416628852,31.22042536704518,58.58042478367403,417.2171204811321
0.0%,18.68274465268769,24.502513335520263,43.18525798820795,327.44166481431364
0.0%,26.3030051458627,17.79691710179308,44.09992224765578,237.8307924814245
0.0%,21.770606220041373,14.663198741013323,36.4338049610547,195.95304944902313
0.0%,9.680726423859596,23.297872983933118,32.978599407792714,311.3433390293266
0.0%,18.964702263474464,31.34655007089746,50.31125233437193,418.90259994350765
0.0%,18.17763191634731,23.051660132918347,41.22929204926565,308.053050203401
0.0%,16.333351515233517,30.500968704240368,46.83432021947388,407.60259301594147
0.0%,12.68727081513498,21.6554143345808,34.34268514971578,289.39418682733793
0.0%,11.678750845370814,21.45671676157837,33.135467606949184,286.73887293330716
0.0%,25.9847748860484,19.491094240913387,45.47586912696178,260.47108963492974
0.0%,8.05002192221582,24.884752508531953,32.93477443074777,332.54975431739143
0.0%,17.61881782929413,20.016398997128128,37.63521682642226,267.49104965105107
0.0%,16.41406549263047,21.66031116262767,38.07437665525814,289.4596260541641
0.0%,14.865500647843874,29.449322240892943,44.31482288873681,393.5488155915917
