#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.0%,16226987271.728012,2617954223.697681,18844941495.425694,34985279986.463524
0.0%,7101609847.53772,4957577937.462364,12059187785.000084,66251063760.71767
0.0%,4584414813.051319,6671460372.084354,11255875185.135674,89154694502.7563
0.0%,4618274109.072654,6252102469.197159,10870376578.269814,83550565326.53165
0.0%,30013869840.503433,48517252523.69604,78531122364.19946,648364913469.7295
0.0%,27687851166.792194,27940860740.120663,55628711906.91286,373390347015.0175
0.0%,76342579140.04886,184892361661.03745,261234940801.0863,2470826640709.3784
0.0%,45542230016.49461,48597880809.98333,94140110826.47794,649442397233.5997
0.0%,67887817900.4328,51019356687.66718,118907174588.09998,681802020176.7319
0.0%,32112862203.01329,202185822889.2406,234298685092.2539,2701929452793.3857
0.0%,68007197205.62155,37930307830.29761,105937505035.91916,506885272249.49396
0.0%,39705769576.73534,24220898873.591568,63926668450.326904,323678283197.6187
0.0%,15086201715.429943,17383857172.139748,32470058887.56969,232310826868.84793
0.0%,4115443235.3702393,6093632967.750956,10209076203.121195,81432843088.60037
0.0%,4734257046.666624,5122105113.425077,9856362160.091702,68449738307.55817
0.0%,4759977928.842762,1966016675.4638126,6725994604.306575,26273050623.478172
0.0%,4.7115202764760016e+20,2.528086652160098e+16,4.7117730851412174e+20,3.3784326156375104e+17
