#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.0%,3667137356343.1396,3236216412194.1797,6903353768537.319,43247485480279.49
0.0%,1585309962049.027,1723988514957.8022,3309298477006.829,23038684306731.867
0.0%,974410110976.8783,748482809411.1904,1722892920388.0688,10002421132986.639
0.0%,512193179663.9831,240827599991.0479,753020779655.031,3218322512245.6577
0.0%,240737151481.84076,45100018065.09952,285837169546.9403,602698376128.7787
0.0%,117974955771.118,78654667745.37445,196629623516.49243,1051109124982.1476
0.0%,46976578290.16325,45530516945.43863,92507095235.60188,608451388815.6277
0.0%,114334555354.61867,71631841235.4715,185966396590.09015,957258915715.2014
0.0%,45262019641.07794,41274883163.78001,86536902804.85794,551580822469.0205
0.0%,17832727582.469566,17827791022.495636,35660518604.9652,238243379053.90213
0.0%,13234428781.999033,7240441483.858039,20474870265.85707,96758327645.85071
0.0%,150933673838.15674,700888734729.8499,851822408568.0066,9366393194319.504
0.0%,513189839814.2798,379231714733.6933,892421554547.9731,5067899048656.952
0.0%,95206255819.89117,304648934616.2118,399855190436.10297,4071204980838.8066
0.0%,92376959193.78328,115242418744.72102,207619377938.5043,1540053011471.9548
0.0%,19703799769.689777,58688747626.05225,78392547395.74203,784292654610.3892
0.0%,31907824738.166553,22034882405.278053,53942707143.44461,294465244441.36884
0.0%,4206572668.1362066,14907552766.307022,19114125434.44323,199218497680.82788
0.0%,5373930171.366843,4667192903.162825,10041123074.529667,62370475766.89895
0.0%,9772835032.051039,4350171951.15199,14123006983.20303,58133936156.20672
0.0%,254892861316.7212,138128440205.4284,393021301522.1496,1845892533542.8044
0.0%,68637410705.1226,78875892585.1463,147513303290.2689,1054065484145.8488
0.0%,22536753126.814884,47704041942.17909,70240795068.99397,637497496604.7621
0.0%,20103351943.89194,12962248714.5802,33065600658.47214,173222242172.45657
0.0%,44090448102.92752,65154518972.30088,109244967075.2284,870698604274.9558
0.0%,43135884596.35485,32851052381.650185,75986936978.00504,439008159508.1136
0.0%,9312654981.785559,25874400433.5683,35187055415.35386,345775008384.8657
0.0%,11752542663.319435,7590738740.172621,19343281403.492058,101439558310.51294
0.0%,5895527682.293121,8047846413.399934,13943374095.693054,107548160129.08514
0.0%,3379703443.540432,2082279246.1471765,5461982689.687609,27826736532.301464
