#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.0%,230.44394730239134,1165.7981037525838,1396.242051054975,285.85786634590727
0.0%,342.9783915029594,1118.988526651816,1461.9669181547756,274.3799905529136
0.0%,354.77680316946294,1189.1155870682944,1543.8923902377574,291.5753966864781
0.0%,378.698923993222,1181.8249986967537,1560.5239226899757,289.78771833154985
0.0%,358.2206316292333,1165.600174230729,1523.8208058599623,285.80933331894306
0.0%,383.24284088729553,1181.2157485667803,1564.458589454076,289.63832801974155
0.0%,237.99424494073196,1297.8240222919214,1535.8182672326534,318.2310939695673
0.0%,463.1010233564667,1197.6977179053636,1660.7987412618304,293.67976587518166
0.0%,444.67944376878347,1201.0317938182525,1645.711237587036,294.49729321857495
0.0%,515.0720886799963,1227.5315436616895,1742.6036323416859,300.9951266981127
0.0%,427.840955555773,1186.414145725162,1614.255101280935,290.91299360319914
0.0%,366.489977434319,1231.9553896824316,1598.4453671167505,302.0798695712239
0.0%,357.10324794429073,1261.982851161101,1619.086099105392,309.44271056611547
0.0%,408.62785358857434,1273.8595649772667,1682.487418565841,312.35492328953796
0.0%,483.76729873183916,1276.6443448763107,1760.41164360815,313.0377612849175
0.0%,531.1894515370318,1233.0615355372126,1764.2509870742444,302.3511004926822
0.0%,455.744565903482,1191.5444033577694,1647.2889692612514,292.1709511311291
0.0%,374.34392794531436,1232.4079254911526,1606.751853436467,302.19083297072655
0.0%,267.43360226752486,1308.6440961437986,1576.0776984113236,320.8842147930158
0.0%,422.20178681095786,1256.866074013277,1679.067860824235,308.18805850128854
0.0%,458.40512314795205,1157.722133256894,1616.127256404846,283.8776094839864
0.0%,378.8393983987471,1202.6294182426448,1581.4688166413919,294.88903644384595
0.0%,455.0896524424518,1225.2415418311364,1680.3311942735882,300.43361005547706
0.0%,390.39457314791207,1317.5044093965769,1707.898982544489,323.0567953054071
0.0%,435.8398236395012,1225.1215764474744,1660.9614000869756,300.40419411415877
0.0%,426.88254931165477,1214.7381701910547,1641.6207195027096,297.8581457475431
0.0%,370.62055252494997,1237.5433865827788,1608.1639391077288,303.4500664054261
0.0%,274.56953502305385,1314.0212081855457,1588.5907432085996,322.2027019053288
0.0%,350.9716584100197,1121.1758147537219,1472.1474731637416,274.91632142176815
0.0%,332.90790741756837,1266.5106512247237,1599.418558642292,310.55294334249567
0.0%,268.0953963281502,1191.2117078461733,1459.3071041743235,292.0893730012783
0.0%,268.4585648636743,1155.977451406776,1424.4360162704504,283.4498072517459
0.0%,205.9216847616521,1230.8352840014893,1436.7569687631415,301.8052156504417
0.0%,312.3522079168415,1279.4697686823522,1591.8219765991937,313.7305653117195
0.0%,367.8006999886461,1198.9464730331656,1566.7471730218117,293.98596510065045
0.0%,374.0168207701954,1203.44473499842,1577.4615557686154,295.08895502962145
0.0%,376.3990813200928,1262.0737150058476,1638.4727963259404,309.4649907059644
0.0%,342.49306580141183,1233.1916140828243,1575.6846798842362,302.3829962174961
